Joint,OutputCase,CaseType,StepType,StepNum,U1,U2,U3,R1,R2,R3
,,,,,ft,ft,ft,Radians,Radians,Radians
3,LC2_8_1150,LinStatic,,,0.002402,0,-0.000037,0,-0.00222,0
3,LC2_9_1150,LinStatic,,,0.002432,0,-0.000035,0,-0.002117,0
3,LC2_10_1150,LinStatic,,,0.002438,0,-0.000032,0,-0.002,0
3,LC2_11_1150,LinStatic,,,0.002416,0,-0.000029,0,-0.00187,0
3,LC2_12_1150,LinStatic,,,0.00218,0,-0.000022,0,-0.001415,0
3,LC_7,LinStatic,,,0.003936,0,-0.000118,0,-0.005038,0
3,LC_8,LinStatic,,,0.003945,0,-0.000116,0,-0.004977,0
3,LC_9,LinStatic,,,0.004361,0,-0.000106,0,-0.005104,0
3,LC_10,LinStatic,,,0.004176,0,-0.000107,0,-0.004892,0
3,LC_11,LinStatic,,,0.004704,0,-0.000095,0,-0.004956,0
3,LC_12,LinStatic,,,0.004293,0,-0.00009,0,-0.004466,0
3,Dead_Patter,n   LinStati,c,,0.000125,0,-3.56E-06,0,-0.000134,0
3,Dead_Case,LinStatic,,,0.000125,0,-3.56E-06,0,-0.000134,0
3,LC_2_Pre,LinStatic,,,0.001246,0,-0.000027,0,-0.001287,0
3,LC_3_Pre,LinStatic,,,0.001295,0,-0.000027,0,-0.001331,0
3,LC_4_Pre,LinStatic,,,0.001187,0,-0.000029,0,-0.001325,0
3,LC_5_Pre,LinStatic,,,0.001225,0,-0.000029,0,-0.001375,0
3,LC_6_Pre,LinStatic,,,0.001137,0,-0.000031,0,-0.001355,0
3,LC_7_Pre,LinStatic,,,0.001065,0,-0.000033,0,-0.001359,0
3,LC_8_Pre,LinStatic,,,0.001137,0,-0.000031,0,-0.001355,0
3,LC_9_Pre,LinStatic,,,0.001225,0,-0.000029,0,-0.001375,0
3,LC_10_Pre,LinStatic,,,0.001187,0,-0.000029,0,-0.001325,0
3,LC_11_Pre,LinStatic,,,0.001295,0,-0.000027,0,-0.001331,0
3,LC_12_Pre,LinStatic,,,0.001197,0,-0.000025,0,-0.001205,0
3,LCB2,Combination,,,0.003406,0,-0.000061,0,-0.003305,0
3,LCB3,Combination,,,0.003559,0,-0.000062,0,-0.003467,0
3,LCB4,Combination,,,0.003258,0,-0.00007,0,-0.003483,0
3,LCB5,Combination,,,0.003365,0,-0.000071,0,-0.003656,0
3,LCB6,Combination,,,0.003109,0,-0.000077,0,-0.003624,0
3,Envelope,Combination,Max,,0.003559,0,-0.000061,0,-0.00326,0
3,Envelope,Combination,Min,,0.002808,0,-0.000084,0,-0.003729,0
3,DEAD2,Combination,,,0.000125,0,-3.56E-06,0,-0.000134,0
3,LCB7,Combination,,,0.002872,0,-0.000084,0,-0.003678,0
3,LCB8,Combination,,,0.002808,0,-0.000084,0,-0.003622,0
3,LCB9,Combination,,,0.003136,0,-0.000077,0,-0.003729,0
3,LCB10,Combination,,,0.002989,0,-0.000078,0,-0.003567,0
3,LCB11,Combination,,,0.003409,0,-0.000068,0,-0.003624,0
3,LCB12,Combination,,,0.003096,0,-0.000065,0,-0.00326,0
4,MODAL,LinModal,Mode,1,2.97E-16,0,0,0.565604,-3.81E-16,-7.49E-14
4,MODAL,LinModal,Mode,2,2.98E-17,0,0,-0.835545,-4.20E-17,0.404424
4,MODAL,LinModal,Mode,3,6.55E-17,0,0,0.734682,-1.34E-16,0.044134
4,MODAL,LinModal,Mode,4,0.724401,0,0,9.19E-18,-0.145876,-2.31E-16
4,MODAL,LinModal,Mode,5,-4.47E-16,0,0,-1.019348,1.62E-16,0.682998
4,MODAL,LinModal,Mode,6,-0.385128,0,0,2.72E-15,-0.145195,-2.51E-16
4,MODAL,LinModal,Mode,7,1.53E-13,0,0,0.142919,-2.42E-13,0.526878
4,MODAL,LinModal,Mode,8,6.60E-12,0,0,-0.972026,-1.11E-11,0.773481
4,MODAL,LinModal,Mode,9,-7.39E-11,0,0,-0.035492,2.57E-11,-0.863348
